hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,destpurp1_desc_01,destplace1_desc_01,startime_01,arrtime_01,vistadist_01,travtime_01,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS,weight,wfh_intensity,wfh_adopter,wfh_category,perspoststratweight,agegroup,sex,carlicence,emptype,persinc,analysis_weight
Y24H5740102,Y24H5740102P02,Y24H5740102P02JTW0001,Weekday,FROM_HOME,Y24H5740102P02S01,455,Casey (C),TO_WORK,Y24H5740102P02S01,480.0,Greater Dandenong (C),Vehicle Driver,Work Related,Place of work,455.0,480.0,12.89117,25.0,Vehicle Driver,25.0,12.89117,25.0,652.818030841,MELB - Outer,Greater Melbourne,652.818030841,0.0,0,No_WFH,652.818030841,25->29,Male,Full Licence,Paid Employee,"$800-$999 ($41,600-$51,999)",652.818030841
Y24H5740109,Y24H5740109P02,Y24H5740109P02JTW0002,Weekday,FROM_HOME,Y24H5740109P02S01,450,Casey (C),TO_WORK,Y24H5740109P02S01,454.0,Casey (C),Vehicle Driver,Work Related,Place of work,450.0,454.0,1.33689,4.0,Vehicle Driver,4.0,1.33689,4.0,760.235357962,MELB - Outer,Greater Melbourne,760.235357962,0.0,0,No_WFH,760.235357962,45->49,Female,Full Licence,Paid Employee,"$1,000-$1,249 ($52,000-$64,999)",760.235357962
Y24H5740110,Y24H5740110P03,Y24H5740110P03JTW0003,Weekday,FROM_HOME,Y24H5740110P03S01,395,Casey (C),TO_WORK,Y24H5740110P03S01,405.0,Casey (C),Vehicle Passenger,Work Related,Place of work,395.0,405.0,9.42059,10.0,Vehicle Passenger,10.0,9.42059,10.0,603.756453587,MELB - Outer,Greater Melbourne,603.756453587,0.0,0,No_WFH,603.756453587,25->29,Female,Learners Permit,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",603.756453587
Y24H5740111,Y24H5740111P01,Y24H5740111P01JTW0004,Weekday,FROM_HOME,Y24H5740111P01S01,560,Casey (C),TO_WORK,Y24H5740111P01S01,590.0,Frankston (C),Vehicle Driver,Work Related,Place of work,560.0,590.0,20.87897,30.0,Vehicle Driver,30.0,20.87897,30.0,348.746406172,MELB - Outer,Greater Melbourne,348.746406172,0.0,0,No_WFH,348.746406172,65->69,Female,Full Licence,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)",348.746406172
Y24H5740111,Y24H5740111P02,Y24H5740111P02JTW0005,Weekday,FROM_HOME,Y24H5740111P02S01,421,Casey (C),TO_WORK,Y24H5740111P02S02,568.0,Ballarat (C),Vehicle Driver,Buy Something,Retail venue,421.0,508.0,87.50492,87.0,Vehicle Driver,98.81999999999994,86.52100259999997,146.81999999999994,696.78161167,MELB - Outer,Greater Melbourne,696.78161167,3.0,1,Frequent_WFH,696.78161167,25->29,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",696.78161167
Y24H5740119,Y24H5740119P01,Y24H5740119P01JTW0006,Weekday,FROM_HOME,Y24H5740119P01S05,569,Casey (C),TO_WORK,Y24H5740119P01S07,651.0,Melbourne (C),Vehicle Driver,Change Mode,Transport Feature,569.0,575.0,3.34288,6.0,Train,73.0,51.61251,82.0,346.716334742,MELB - Outer,Greater Melbourne,346.716334742,3.0,1,Frequent_WFH,346.716334742,65->69,Male,Full Licence,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)",346.716334742
Y24H5740120,Y24H5740120P01,Y24H5740120P01JTW0007,Weekend,FROM_HOME,Y24H5740120P01S01,537,Casey (C),TO_WORK,Y24H5740120P01S02,565.0,Casey (C),Vehicle Driver,Buy Something,Retail venue,537.0,543.0,2.25009,6.0,Vehicle Driver,25.0,15.39116,28.0,427.276622314,MELB - Outer,Greater Melbourne,427.276622314,0.0,0,No_WFH,427.276622314,60->64,Female,Full Licence,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)",427.276622314
Y24H5740123,Y24H5740123P01,Y24H5740123P01JTW0008,Weekday,FROM_HOME,Y24H5740123P01S01,486,Casey (C),TO_WORK,Y24H5740123P01S02,510.0,Greater Dandenong (C),Vehicle Driver,Buy Something,Retail venue,486.0,499.0,7.46789,13.0,Vehicle Driver,21.0,12.43667,24.0,433.329068446,MELB - Outer,Greater Melbourne,433.329068446,0.0,0,No_WFH,433.329068446,65->69,Female,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",433.329068446
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0009,Weekday,FROM_HOME,Y24H5740129P03S01,491,Casey (C),TO_WORK,Y24H5740129P03S01,532.0,Manningham (C),Vehicle Driver,Work Related,Place of work,491.0,532.0,42.83731,41.0,Vehicle Driver,41.0,42.83731,41.0,734.497298419,MELB - Outer,Greater Melbourne,734.497298419,5.0,1,Full_WFH,734.497298419,40->44,Male,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",734.497298419
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0010,Weekday,FROM_HOME,Y24H5740129P03S10,1100,Casey (C),TO_WORK,Y24H5740129P03S10,1111.0,Casey (C),Vehicle Driver,Work Related,Place of work,1100.0,1111.0,8.61913,11.0,Vehicle Driver,11.0,8.61913,11.0,734.497298419,MELB - Outer,Greater Melbourne,734.497298419,5.0,1,Full_WFH,734.497298419,40->44,Male,Full Licence,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)",734.497298419
