persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,weight,wfh_intensity_weekdays,wfh_intensity_weekends,wfh_intensity_total,wfh_intensity,wfh_adopter,wfh_category,is_worker,hhsize,dwelltype,totalvehs,hhinc_group,homelga,hhpoststratweight,analysis_weight,weight_source
Y24H5740102P02,Y24H5740102,2,Tuesday,25->29,Male,Spouse,Full Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Professionals,Design Engineering Science and Transport Professionals,Manufacturing,Transport Equipment Manufacturing,At Home,4,"$800-$999 ($41,600-$51,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576,MELB - Outer,Greater Melbourne,Weekday,652.818030841,0,0,0,0,0,No_WFH,1,2,"Unit, Flat or Apartment",2,"$1,250-$1,499 ($65,000-$77,999)",Casey (C),806.3371724,652.818030841,perspoststratweight
Y24H5740104P01,Y24H5740104,1,Thursday,55->59,Female,Self,No Car Licence,No,No,Yes,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Education and Training,Tertiary Education,At Home,2,"$1-$149 ($1-$7,799)",Yes,0,0,1,1,1,0,0,1,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,482.667095678,466.837261016,590.513462458,607.041441415,504.538560345,565.703526832,0.0,492.619046432,425.480656313,541.45019129,673.129057899,MELB - Outer,Greater Melbourne,Weekday,482.667095678,3,0,3,3,1,Frequent_WFH,1,1,Separate House,0,"$1-$149 ($1-$7,799)",Casey (C),754.3656665,482.667095678,perspoststratweight
Y24H5740109P01,Y24H5740109,1,Tuesday,45->49,Male,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Clerical and Administrative Workers,Clerical and Office Support Workers,Financial and Insurance Services,Financial and Insurance Services (NEC),At Home,5,"$1,000-$1,249 ($52,000-$64,999)",Yes,0,0,1,1,0,0,0,0,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,685.760486978,605.822551968,880.495362229,852.856122331,657.613077798,882.151108516,0.0,699.827251696,726.313405223,669.066950024,902.879037588,MELB - Outer,Greater Melbourne,Weekday,685.760486978,2,0,2,2,1,Occasional_WFH,1,5,Separate House,1,"$2,000-$2,499 ($104,000-$129,999)",Casey (C),876.2877141,685.760486978,perspoststratweight
Y24H5740109P02,Y24H5740109,2,Tuesday,45->49,Female,Spouse,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Public Administration and Safety,Public Order Safety and Regulatory Services,At Home,2,"$1,000-$1,249 ($52,000-$64,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,760.235357962,674.810449369,1050.547465463,946.876592053,763.30741632,953.232092472,0.0,776.158947923,785.896037773,768.616963531,910.15866419,MELB - Outer,Greater Melbourne,Weekday,760.235357962,0,0,0,0,0,No_WFH,1,5,Separate House,1,"$2,000-$2,499 ($104,000-$129,999)",Casey (C),876.2877141,760.235357962,perspoststratweight
Y24H5740110P03,Y24H5740110,3,Wednesday,25->29,Female,Child,Learners Permit,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Professionals,Health Professionals,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,4,"$1,750-$1,999 ($91,000-$103,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269,MELB - Outer,Greater Melbourne,Weekday,603.756453587,0,0,0,0,0,No_WFH,1,3,Separate House,1,"$1,750-$1,999 ($91,000-$103,999)",Casey (C),672.6834138,603.756453587,perspoststratweight
Y24H5740111P01,Y24H5740111,1,Thursday,65->69,Female,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Clerical and Administrative Workers,Office Managers and Program Administrators,Agriculture Forestry and Fishing,Agriculture,At Home,2,"$1,500-$1,749 ($78,000-$90,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,348.746406172,333.818655666,434.855817029,442.345614928,305.615372247,394.661901608,0.0,354.864352589,295.391585048,354.382003487,607.118259937,MELB - Outer,Greater Melbourne,Weekday,348.746406172,0,0,0,0,0,No_WFH,1,3,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),749.463904,348.746406172,perspoststratweight
Y24H5740111P02,Y24H5740111,2,Thursday,25->29,Female,Child,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Community and Personal Service Workers,Carers and Aides,Education and Training,Preschool and School Education,At Home,5,"$2,000-$2,999 ($104,000-$155,999)",Yes,0,1,1,0,1,0,0,0,Not applicable,Yes,No,Yes,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,696.78161167,3,0,3,3,1,Frequent_WFH,1,3,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),749.463904,696.78161167,perspoststratweight
Y24H5740111P03,Y24H5740111,3,Thursday,30->34,Male,Other relative,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,ICT Professionals,Professional Scientific and Technical Services,Computer System Design and Related Services,At Home,0,"$2,000-$2,999 ($104,000-$155,999)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,659.04010418,619.998067634,912.147065079,871.441772169,651.46741432,709.218460722,0.0,679.06513373,578.703571698,597.472357111,1145.537866718,MELB - Outer,Greater Melbourne,Weekday,659.04010418,0,0,0,0,0,No_WFH,1,3,Separate House,2,"$4,000-$4,499 ($208,000-$233,999)",Casey (C),749.463904,659.04010418,perspoststratweight
Y24H5740116P01,Y24H5740116,1,Tuesday,40->44,Female,Self,Full Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Professionals,Education Professionals,Education and Training,Preschool and School Education,At Home,0,"$500-$649 ($26,000-$33,799)",No,0,0,0,0,0,0,0,0,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,577.39701919,532.062836624,730.196368069,784.46485935,532.286502208,643.005805409,0.0,603.150452484,531.046650589,556.735695425,845.784401568,MELB - Outer,Greater Melbourne,Weekday,577.39701919,0,0,0,0,0,No_WFH,1,3,Separate House,1,"$500-$649 ($26,000-$33,799)",Casey (C),669.1512742,577.39701919,perspoststratweight
Y24H5740117P02,Y24H5740117,2,Wednesday,65->69,Female,Spouse,Full Licence,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Clerical and Administrative Workers,Other Clerical and Administrative Workers,Health Care and Social Assistance,Social Assistance Services,At Home,4,"$800-$999 ($41,600-$51,999)",No,0,0,0,0,0,0,0,0,Not applicable,No,No,No,322.915406765,313.247231991,358.705687212,412.723910723,297.369385211,403.349637902,0.0,316.380189374,309.805746422,319.05378723,505.678244505,MELB - Outer,Greater Melbourne,Weekday,322.915406765,0,0,0,0,0,No_WFH,1,2,Separate House,1,"$1,500-$1,749 ($78,000-$90,999)",Casey (C),693.9525028,322.915406765,perspoststratweight
